id,display_name,sys_class_name,ci,parent,model_category,model,serial_number,asset_tag,location,stockroom,assigned_to,company,assigned,department,support_group,supported_by,owned_by,managed_by,install_status,substatus,life_cycle_stage,life_cycle_stage_status,purchase_date,order_date,delivery_date,install_date,vendor,justification,lease_id,warranty_expiration,po_number,invoice_number,gl_account,cost,cost_center,checked_in,checked_out,due,due_in,comments,quantity,old_status,old_substatus,active_to,pre_allocated,skip_sync,depreciation,residual,residual_date,depreciation_date,depreciated_amount,salvage_value,retirement_date,request_line,reserved_for,sys_domain,acquisition_method,retired,disposal_reason,beneficiary,resale_price,resold_value,expenditure_type,work_notes,asset_function,sys_id,sys_updated_by,sys_updated_on,sys_created_by,sys_created_on,sys_mod_count,sys_domain_path
1,"P1000479 - Apple MacBook Pro 15\"",alm_hardware""",0ca96c0d3790200044e0bfc8bcbe5dc3,NULL,81feb9c137101000deeabfc8bcbe5dc4,d501454f1b1310002502fbcd2c071334,BQP-854-D33246-GH,P1000479,8201c34fac1d55eb36e59da730b7d035,NULL,9a826bf03710200044e0bfc8bcbe5dad,81fdf9ebac1d55eb4cb89f136a082555,2021-08-12 07:00:00,221f79b7c6112284005d646b76ab978c,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,2021-01-19,2021-01-06 07:00:00,2021-01-30 07:00:00,2021-03-14 07:00:00,b7e9e843c0a80169009a5a485bb2a2b5,NULL,NULL,2024-03-13,PO100004,NULL,NULL,1799.9900,d9d0a971c0a80a641c20b13d99a48576,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,0,0f21351437b03000158bbfc8bcbe5da8,70261.6600,2023-11-08,2021-03-15 07:00:00,79269.5648,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00a96c0d3790200044e0bfc8bcbe5dc3,system,2023-11-08 07:55:02,admin,2022-12-05 08:14:21,18,/
2,"Samsung SyncMaster 24\ Class BackLight LED""",alm_consumable,NULL,dea9604d3790200044e0bfc8bcbe5d81,218323293743100044e0bfc8bcbe5d61,f10008893710200044e0bfc8bcbe5d80,NULL,NULL,f48b202a0a0a0ba7004d9fdfb817015d,NULL,c2826bf03710200044e0bfc8bcbe5d73,31bea3d53790200044e0bfc8bcbe5dec,2022-07-13 07:00:00,5d7f17f03710200044e0bfc8bcbe5d43,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2022-01-20 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,457.7600,91e8bbf43710200044e0bfc8bcbe5daa,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00aba08d3790200044e0bfc8bcbe5dfc,admin,2023-09-14 04:27:32,admin,2022-12-05 08:23:37,6,/
3,Logitech Desktop Optical Wireless Mouse,alm_consumable,NULL,eaa9604d3790200044e0bfc8bcbe5d91,218323293743100044e0bfc8bcbe5d61,f9e1344b0a0a0b9100d4568417fde0c0,NULL,NULL,f48b202a0a0a0ba7004d9fdfb817015d,NULL,0e826bf03710200044e0bfc8bcbe5d73,31bea3d53790200044e0bfc8bcbe5dec,2022-05-14 07:00:00,5d7f17f03710200044e0bfc8bcbe5d43,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2022-02-15 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.0000,91e8bbf43710200044e0bfc8bcbe5daa,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d01,system,2023-09-15 08:09:06,admin,2022-12-05 08:23:38,7,/
4,Logitech Logitech Desktop Keyboard,alm_consumable,NULL,caa9604d3790200044e0bfc8bcbe5d39,218323293743100044e0bfc8bcbe5d61,f9e1b5fa0a0a0b9100041f0a44da0547,NULL,NULL,f48b202a0a0a0ba7004d9fdfb817015d,NULL,ca826bf03710200044e0bfc8bcbe5d77,31bea3d53790200044e0bfc8bcbe5dec,2021-10-12 08:00:00,5d7f17f03710200044e0bfc8bcbe5d43,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2021-08-05 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.9900,91e8bbf43710200044e0bfc8bcbe5daa,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d37,admin,2023-09-14 04:27:32,admin,2022-12-05 08:23:38,6,/
5,"Samsung SyncMaster 24\ Class BackLight LED""",alm_consumable,NULL,71a9204d3790200044e0bfc8bcbe5de3,218323293743100044e0bfc8bcbe5d61,f10008893710200044e0bfc8bcbe5d80,NULL,NULL,25ab93750a0a0bb30067bd2ef3d4a5c9,NULL,4e826bf03710200044e0bfc8bcbe5d78,31bea3d53790200044e0bfc8bcbe5dec,2021-04-06 07:00:00,5d7f17f03710200044e0bfc8bcbe5d43,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-25 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,457.7600,91e8bbf43710200044e0bfc8bcbe5daa,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d3c,admin,2023-09-14 04:27:32,admin,2022-12-05 08:23:38,6,/
6,Logitech Desktop Optical Wireless Mouse,alm_consumable,NULL,3ea9604d3790200044e0bfc8bcbe5df4,218323293743100044e0bfc8bcbe5d61,f9e1344b0a0a0b9100d4568417fde0c0,NULL,NULL,f48b202a0a0a0ba7004d9fdfb817015d,NULL,86826bf03710200044e0bfc8bcbe5d79,31bea3d53790200044e0bfc8bcbe5dec,2022-10-18 08:00:00,5d7f17f03710200044e0bfc8bcbe5d43,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2022-07-30 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.0000,91e8bbf43710200044e0bfc8bcbe5daa,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d41,system,2023-09-15 08:09:06,admin,2022-12-05 08:23:38,7,/
7,Logitech Logitech Desktop Keyboard,alm_consumable,NULL,c2a9604d3790200044e0bfc8bcbe5d1a,218323293743100044e0bfc8bcbe5d61,f9e1b5fa0a0a0b9100041f0a44da0547,NULL,NULL,25ab93750a0a0bb30067bd2ef3d4a5c9,NULL,ce826bf03710200044e0bfc8bcbe5d79,31bea3d53790200044e0bfc8bcbe5dec,2021-08-27 08:00:00,5d7f17f03710200044e0bfc8bcbe5d43,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2021-06-03 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.9900,91e8bbf43710200044e0bfc8bcbe5daa,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d46,admin,2023-09-14 04:27:33,admin,2022-12-05 08:23:38,6,/
8,"Samsung SyncMaster 24\ Class BackLight LED""",alm_consumable,NULL,56a9e80d3790200044e0bfc8bcbe5dbb,218323293743100044e0bfc8bcbe5d61,f10008893710200044e0bfc8bcbe5d80,NULL,NULL,db9a923c0a0a0a6501068d6eaec25ee0,NULL,42826bf03710200044e0bfc8bcbe5d7b,31bea3d53790200044e0bfc8bcbe5dec,2021-12-08 08:00:00,221f3db5c6112284009f4becd3039cc9,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2021-08-30 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,457.7600,d9d07bddc0a80a647cf932056ed24652,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d4b,admin,2023-09-14 04:27:33,admin,2022-12-05 08:23:38,6,/
9,Logitech Desktop Optical Wireless Mouse,alm_consumable,NULL,d2a9e80d3790200044e0bfc8bcbe5dc3,218323293743100044e0bfc8bcbe5d61,f9e1344b0a0a0b9100d4568417fde0c0,NULL,NULL,db9a923c0a0a0a6501068d6eaec25ee0,NULL,8a826bf03710200044e0bfc8bcbe5d7b,31bea3d53790200044e0bfc8bcbe5dec,2022-03-06 07:00:00,221f3db5c6112284009f4becd3039cc9,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2021-10-11 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.0000,d9d07bddc0a80a647cf932056ed24652,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d50,system,2023-09-15 08:09:07,admin,2022-12-05 08:23:38,7,/
10,Logitech Logitech Desktop Keyboard,alm_consumable,NULL,a2a9e80d3790200044e0bfc8bcbe5dc7,218323293743100044e0bfc8bcbe5d61,f9e1b5fa0a0a0b9100041f0a44da0547,NULL,NULL,f9084ba00a0a0b910060ba2ce83f882b,NULL,c2826bf03710200044e0bfc8bcbe5d7c,31bea3d53790200044e0bfc8bcbe5dec,2022-02-22 07:00:00,221f3db5c6112284009f4becd3039cc9,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,2021-10-11 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.9900,d9d07bddc0a80a647cf932056ed24652,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,global,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,00abe08d3790200044e0bfc8bcbe5d55,admin,2023-09-14 04:27:33,admin,2022-12-05 08:23:38,6,/
