"name","contact","phone","city","latitude","longitude","sys_updated_on"
"100 South Charles Street, Baltimore,MD","","","Baltimore","39.287069","-76.615726","2015-02-18 13:40:55"
"10065 East Harvard Avenue, Denver,CO","","","Aurora","39.673271","-104.869909","2015-02-18 13:40:55"
"1007 Green Street Southeast, Conyers,GA","","","Conyers","33.661936","-84.014584","2015-02-18 13:40:55"
"101 Broadway East, Seattle,WA","","","Seattle","47.6189","-122.321254","2015-02-18 13:41:55"
"10369 Democracy Lane, Fairfax,VA","","","Fairfax","38.849008","-77.300618","2015-02-18 13:41:55"
"1050 Sunnyview Road Northeast, Salem,OR","","503-373-7051","Salem","44.95668","-123.01869","2015-02-18 13:40:54"
"10719 Alpharetta Highway, Roswell,GA","","","Roswell","34.040175","-84.340342","2015-02-18 13:40:55"
"10799 West Alameda Avenue, Lakewood,CO","","","Lakewood","39.711939","-105.11808","2015-02-18 13:40:55"
"1112 18th Street, Plano,TX","","","Plano","33.023474","-96.698103","2015-02-18 13:41:55"
"1116 Ulrich Avenue, Louisville,KY","","","Louisville","38.15782","-85.701367","2015-02-18 13:40:55"
"11251 Rancho Carmel Drive, San Diego,CA","","","San Diego","32.983225","-117.081855","2015-02-18 13:41:55"
"1140 South Laredo Street, San Antonio,TX","","","San Antonio","29.413783","-98.503378","2015-02-18 13:41:55"
"11770 Bernardo Plaza Court, San Diego,CA","","","San Diego","33.020782","-117.077105","2015-02-18 13:41:55"
"125 West South Street, Indianapolis,IN","","","Indianapolis","39.761237","-86.160823","2015-02-18 13:40:55"
"1250 Smile Way, York,PA","","","York","39.987863","-76.758824","2015-02-18 13:41:55"
"12955 Bow Willow, Houston,TX","","","Houston","29.96011","-95.558727","2015-02-18 13:41:55"
"1313 22nd Avenue, Tuscaloosa,AL","","","Tuscaloosa","33.202749","-87.561954","2015-02-18 13:40:54"
"13308 Midland Road, Poway,CA","","","Poway","32.957993","-117.037319","2015-02-18 13:41:55"
"135 East Olive Avenue, Burbank,CA","","","Burbank","34.180545","-118.309754","2015-02-18 13:40:55"
"136 North Grand Avenue, West Covina,CA","","","West Covina","34.073429","-117.87227","2015-02-18 13:40:55"
"13770 Noel Road, Dallas,TX","","","Dallas","32.93567","-96.81717","2015-02-18 13:41:55"
"140 George Street, Sydney","","","Sydney","-33.860064","151.208954","2012-02-19 23:48:28"
"1400 Centre Circle, Downers Grove,IL","","","Downers Grove","41.838698","-88.016784","2015-02-18 13:40:55"
"143 Rollins Avenue, Rockville,MD","","","Rockville","39.059082","-77.123969","2015-02-18 13:40:55"
"1454 Northwest 78th Avenue, Doral,FL","","","Doral","25.784294","-80.322654","2015-02-18 13:40:55"
"14640 Pardee Road, Taylor,MI","","","Taylor","42.200559","-83.261569","2015-02-18 13:40:55"
"147 Quigley Boulevard, New Castle,DE","","","New Castle","39.660766","-75.599648","2015-02-18 13:40:55"
"150 Kennedy Road, Hong Kong","","","Hong Kong","22.272714","114.174242","2012-02-19 23:43:43"
"1505 Main Street, Windsor,CO","","","Loveland","40.478924","-104.926993","2015-02-18 13:40:55"
"15128 South La Grange Road, Orland Park,IL","","","Orland Park","41.615182","-87.853574","2015-02-18 13:40:55"
"153 South Sierra Avenue, Solana Beach,CA","","(619) 795-5012","Solana Beach","32.990093","-117.273023","2015-02-18 13:41:55"
"16 Arcade, Nashville,TN","","","Nashville","36.164325","-86.780139","2015-02-18 13:41:55"
"1600 2nd Street, Seabrook,TX","","","Seabrook","29.563128","-95.023959","2015-02-18 13:41:55"
"1600 Main Street, East Dennis,MA","","","Barnstable","41.743006","-70.159827","2015-02-18 13:40:55"
"1624 Ness Ave, Winnipeg MB","","","Winnipeg","49.8877854","-97.2756447","2012-02-19 22:51:18"
"1635 Old 41 Highway Northwest #112, Kennesaw,GA","","","Kennesaw","33.993037","-84.599565","2015-02-18 13:40:55"
"1640 Camino Del Rio North #202, San Diego,CA","","","San Diego","32.769192","-117.149377","2015-02-18 13:40:55"
"1653 7th Street, Santa Monica,CA","","","Santa Monica","34.015108","-118.487809","2015-02-18 13:40:54"
"1701 East Edgewood Avenue, Southport,IN","","","Indianapolis","39.678657","-86.128717","2015-02-18 13:40:55"
"17077 Texas Avenue, Webster,TX","","","Webster","29.541686","-95.131242","2015-02-18 13:41:55"
"17119 Red Oak Drive, Houston,TX","","","Houston","30.018211","-95.445535","2015-02-18 13:41:55"
"1772 Jonesboro Road, McDonough,GA","","","Mcdonough","33.467898","-84.216975","2015-02-18 13:40:55"
"18 iLabs Centre, Building 3, Inorbit Mall Road, Madhapur, Hyderabad, Telangana","","","Hyderabad","17.432483","78.388084","2015-02-18 17:06:31"
"1800 194 Ave SE, Calgary,AB","","","Calgary","50.8778119","-114.0289053","2015-02-18 14:21:35"
"1801 Memorial Boulevard, Murfreesboro,TN","","","Murfreesboro","35.870999","-86.386248","2015-02-18 13:41:55"
"1820 Harris Houston Road, Charlotte,NC","","","Concord","35.316065","-80.700106","2015-02-18 13:40:55"
"1975 Ballpark Way, Arlington,TX","","","Arlington","32.765071","-97.073294","2015-02-18 13:41:55"
