id,name,street,city,state,zip,country,phone,fax_phone,contact,manufacturer,vendor,customer,parent,notes,stock_symbol,stock_price,primary,banner_image,banner_text,latitude,longitude,lat_long_error,vendor_type,fiscal_year,num_employees,publicly_traded,website,discount,rank_tier,vendor_manager,sys_class_name,sys_id,sys_updated_by,sys_updated_on,sys_created_by,sys_created_on,sys_mod_count,profits,market_cap,revenue_per_year,theme,banner_image_light,apple_icon,coordinates_retrieved_on
1,N/A,"6922 Hollywood Blvd., 4th floor","Los Angeles, CA 90028",NULL,NULL,NULL,1 (800) 958-2983,NULL,NULL,1,0,0,NULL,NULL,EMC,23.29,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,NULL,NULL,12,0,www.eatsleepmusic.com,NULL,NULL,NULL,core_company,0c43af40c6112275011a4bd4c0143fbf,admin,2013-05-06 23:44:48,guest,2005-05-24 01:14:19,50,0.0000,48930000000.0000,22010000000.0000,NULL,NULL,NULL,NULL
2,GenuineIntel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43b088c6112275011a4bd46a4e6cc4,admin,2013-06-05 17:53:26,guest,2005-05-24 01:14:19,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
3,Cinematronics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43ba9ac61122750000251539b4eebd,admin,2013-06-05 16:55:18,guest,2005-05-24 01:14:22,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
4,In Focus Systems,"13190 SW 68th Parkway, Suite 200",Portland,OR,97223-8368,USA,(503) 207-4700,NULL,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,45.4247080,-122.7471460,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,100,0,NULL,NULL,NULL,NULL,core_company,0c43bc21c611227500002515ef0dfb71,admin,2013-05-09 19:09:13,guest,2005-05-24 01:14:22,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
5,Information Research,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43bcccc61122750000251548b1d9de,admin,2012-10-14 11:59:41,guest,2005-05-24 01:14:22,1,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
6,Andrea Electronics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43bcdcc611227500002515168ec227,admin,2013-06-05 16:28:58,guest,2005-05-24 01:14:22,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
7,Creative Labs,701 Market Street,St. Augustine,FL,32095,USA,(904) 824-3133,(302) 421-5753,NULL,1,1,0,NULL,NULL,CLCN,0.55,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,8a8d53de37400100fceabfc8bcbe5d1e,NULL,12,0,NULL,NULL,NULL,NULL,core_company,0c43bd69c611227500002515789e7ff2,admin,2013-05-07 05:50:23,guest,2005-05-24 01:14:22,8,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
8,Macromedia,345 Park Avenue,San Jose,CA,95110-2704,NULL,(408) 536-6000,(408) 536-6000,NULL,1,1,0,NULL,NULL,MACR,34.13,0,NULL,NULL,37.3294070,-121.8950570,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,1445,1,www.macromedia.com,NULL,NULL,NULL,core_company,0c43bd78c61122750000251597fb0103,admin,2013-05-09 18:29:49,guest,2005-05-24 01:14:22,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
9,"CoreLogic, Inc.","40 Pacifica Suite 900
",Santa Ana,CA,92618-7471,U.S,(949) 250-6400,(949) 250-6400,NULL,1,1,0,NULL,NULL,CLGX,27.63,0,NULL,NULL,33.6593560,-117.7537210,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,4800,0,NULL,NULL,NULL,NULL,core_company,0c43bd98c6112275000025151126b17e,admin,2013-06-05 22:31:21,guest,2005-05-24 01:14:23,7,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
10,SAP America,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,569d6263df300100cd7da5f59bf2632c,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43bda7c611227500002515fd14d70d,admin,2013-06-05 21:15:26,guest,2005-05-24 01:14:23,4,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
